N, V, Time (ms)
1000000, 2, 45.8086
1000000, 4, 43.6611
1000000, 8, 42.6527
1000000, 16, 43.1812
1000000, 32, 52.5877
1000000, 64, 41.8297
1000000, 128, 43.6651
1000000, 256, 42.4491
