N, V, Time (ms)
100000, 2, 4.33992
100000, 4, 4.31449
100000, 8, 4.35328
100000, 16, 4.36182
100000, 32, 4.5245
100000, 64, 4.13476
100000, 128, 5.08603
100000, 256, 4.10499
