N, V, Time (ms)
1000, 2, 0.052387
1000, 4, 0.054451
1000, 8, 0.0459
1000, 16, 0.040298
1000, 32, 0.039512
1000, 64, 0.048652
1000, 128, 0.061135
1000, 256, 0.054952
